,,Lake,filename,cast_time_utc,cast_time_local,start_lat,start_lon,start_gps_horz_error,end_lat,end_lon,end_gps_horz_error,cast_duration,depth,surface_temp,min_temp,max_temp,avg_temp,min_spec_cond,max_spec_cond,avg_spec_cond
1,S01,Sitkagi,CC1838007_20210628_211915.csv,6/28/21 21:19,6/28/21 13:19,59.7207883,-140.6188961,10.38099957,59.7207881,-140.618701,17.24500084,63.2,14.31164498,5.13887167,-0.000203409,5.587472133,1.68671875,4307.804701,43789.78939,37525.70086
2,S02,Sitkagi,CC1838007_20210628_214205.csv,6/28/21 21:42,6/28/21 13:42,59.7220757,-140.6065186,5.534999847,,,,63,14.77019691,6.191219082,-0.153446929,6.191219082,1.466991749,4599.178575,43971.26008,37768.94072
3,S03,Sitkagi,CC1838007_20210628_220236.csv,6/28/21 22:02,6/28/21 14:02,59.7272719,-140.6168656,12.92199993,59.7271809,-140.6170091,7.762000084,63.8,13.6295182,4.003168271,-0.615196847,4.180983229,0.742687578,3567.174097,44225.88817,37423.04054
4,S04,Sitkagi,CC1838007_20210628_221814.csv,6/28/21 22:18,6/28/21 14:18,59.7227493,-140.6354045,6.28000021,59.7227819,-140.6353524,14.40799999,61.8,14.62659702,4.283737183,-0.018082242,4.31094416,1.52548023,4160.1489,43883.09564,37723.14735
5,S05,Sitkagi,CC1838007_20210628_224002.csv,6/28/21 22:40,6/28/21 14:40,59.7104981,-140.6331602,2.806999922,59.7104989,-140.632956,10.87699986,43.6,5.64492343,5.071627461,1.855460049,5.240018883,3.358618685,2911.653535,41135.38023,30338.61493
6,S06,Sitkagi,CC1838007_20210629_175737.csv,6/29/21 17:57,6/29/21 9:57,59.7213209,-140.6292541,6.285999775,59.7212441,-140.6292009,7.849999905,64.8,13.18757315,5.540727979,0.000298256,5.561067924,1.830018684,3859.925276,43773.47745,36732.85278
7,S07,Sitkagi,CC1838007_20210629_180220.csv,6/29/21 18:02,6/29/21 10:02,59.7200244,-140.6344332,3.997999907,59.7200097,-140.6342079,8.972999573,56.2,13.09013207,5.469457946,0.137585071,5.469457946,1.887890973,3705.955184,43679.68285,37147.66791
8,S08,Sitkagi,CC1838007_20210629_180520.csv,6/29/21 18:05,6/29/21 10:05,59.7192124,-140.6371202,7.342000008,59.7191963,-140.6368203,11.94900036,51.2,10.42833927,5.573614145,0.800547636,5.612852612,2.541635289,4098.038519,42790.35622,34017.33191
9,S09,Sitkagi,CC1838007_20210629_180815.csv,6/29/21 18:08,6/29/21 10:08,59.7180112,-140.6388658,4.947000027,59.7178394,-140.6386905,17.28800011,48,10.52983264,5.487886368,0.792388332,5.487886368,2.267645306,4028.070147,42930.08602,35658.55313
10,S10,Sitkagi,CC1838007_20210629_181112.csv,6/29/21 18:11,6/29/21 10:11,59.717321,-140.6372642,6.244999886,59.7171945,-140.6369486,6.394000053,58,9.82421144,5.546705028,0.886166337,5.546705028,2.466167152,4035.107171,42779.13611,34979.67237
11,S11,Sitkagi,CC1838007_20210629_182423.csv,6/29/21 18:24,6/29/21 10:24,59.7154332,-140.6348083,3.684000015,59.715355,-140.6344315,18.21999931,45.8,10.65129868,5.542768125,0.82014059,5.542768125,2.385650579,4214.499062,42860.26958,35685.23629
12,S12,Sitkagi,CC1838007_20210629_182657.csv,6/29/21 18:26,6/29/21 10:26,59.7151716,-140.6313886,4.217000008,59.7151022,-140.6310651,54.27299881,53.6,10.07927172,5.724925217,1.155622272,5.780407862,2.653389573,4227.720168,42411.68518,34500.72229
13,S13,Sitkagi,CC1838007_20210629_183024.csv,6/29/21 18:30,6/29/21 10:30,59.7130296,-140.6319315,11.31599998,59.7130777,-140.6316481,22.69400024,56.6,12.44374194,5.625015982,0.383993766,5.666821337,2.282748778,4480.012564,43486.79574,36458.38401
14,S14,Sitkagi,CC1838007_20210629_183158.csv,6/29/21 18:31,6/29/21 10:31,59.7125293,-140.6315038,5.657000065,59.7122152,-140.6308438,14.14000034,129.6,6.813950627,5.138672444,1.529277775,5.313238741,3.372520147,3845.150722,41819.79737,29577.11348
15,S15,Sitkagi,CC1838007_20210629_184257.csv,6/29/21 18:42,6/29/21 10:42,59.7120085,-140.6256119,4.322000027,59.7120232,-140.6254994,18.22999954,21.8,2.402872777,5.584631291,2.501024149,5.584631291,4.107383491,3701.448784,37014.76785,16518.47653
16,B01,Backdoor,CC1838007_20210630_194859.csv,6/30/21 19:48,6/30/21 11:48,59.7297585,-140.5483949,62.65200043,59.7298036,-140.5482535,207.5050049,42.8,9.016998229,1.570999593,1.272648107,1.63980801,1.412116167,83.00346228,86.3273899,85.27111772
17,B02,Backdoor,CC1838007_20210630_195342.csv,6/30/21 19:53,6/30/21 11:53,59.731256,-140.5431876,3.552000046,59.7312522,-140.5433221,16.64299965,53.8,13.05898084,2.343832989,1.164429256,2.343832989,1.353139629,81.79695603,87.6950026,85.60737598
18,B03,Backdoor,CC1838007_20210630_195748.csv,6/30/21 19:57,6/30/21 11:57,59.7331814,-140.5393695,5.440999985,59.7331012,-140.5392577,10.0539999,44.8,10.85027922,1.899081562,1.110404403,1.899081562,1.285083728,81.44573534,87.01620493,85.41114051
19,B04,Backdoor,CC1838007_20210630_200159.csv,6/30/21 20:01,6/30/21 12:01,59.7351537,-140.5368834,4.303999901,59.735152,-140.536912,14.58600044,49.6,12.76604435,2.330687523,1.165381395,2.330687523,1.346857191,82.57534998,87.0818383,85.48308755
20,B05,Backdoor,CC1838007_20210630_200645.csv,6/30/21 20:06,6/30/21 12:06,59.7379697,-140.5338023,4.69299984,59.7378447,-140.5338508,8.078000069,51.4,12.22380659,2.013880839,1.116616919,2.013880839,1.222557265,79.61582546,86.38532325,85.10448075
21,B06,Backdoor,CC1838007_20210630_201300.csv,6/30/21 20:13,6/30/21 12:13,59.7428263,-140.5332817,8.208000183,59.7428122,-140.5331754,7.22300005,56.8,13.04473151,1.933152892,1.069476423,1.973178316,1.20313556,80.29669053,86.30977354,84.56773132
22,B07,Backdoor,CC1838007_20210630_201936.csv,6/30/21 20:19,6/30/21 12:19,59.7455833,-140.5339443,4.251999855,59.7454439,-140.533856,14.97999954,62.8,9.396688699,2.767621229,1.087672242,2.767621229,1.49461486,75.22771741,86.37876979,82.73159566
23,B08,Backdoor,CC1838007_20210630_202530.csv,6/30/21 20:25,6/30/21 12:25,59.7484503,-140.5377409,3.296000004,59.7483322,-140.537708,12.72299957,63.6,12.11162328,2.41367536,1.249522054,2.41367536,1.497935034,77.71622095,85.85501872,83.26309288
24,B09,Backdoor,CC1838007_20210630_213940.csv,6/30/21 21:39,6/30/21 13:39,59.7278302,-140.5518157,14.20600033,59.7277038,-140.5520584,22.20599937,43.2,3.726771049,5.129498115,1.478185716,5.129498115,2.070932135,81.51272644,84.59281837,83.39669491
25,I01,Intermediate,CC1838007_20210630_220642.csv,6/30/21 22:06,6/30/21 14:06,59.7243855,-140.5682358,4.294000149,59.7243954,-140.5682748,9.409999847,46.2,8.777338352,1.178233304,-0.010468883,1.178233304,0.155663489,74.00628514,76.74190871,74.65353993
26,I02,Intermediate,CC1838007_20210630_220921.csv,6/30/21 22:09,6/30/21 14:09,59.7239932,-140.5692602,4.972000122,59.724007,-140.5692732,16.16399956,57.2,12.89689976,1.779678824,-0.057805557,1.779678824,0.12434945,73.59083002,75.71900595,74.81397491
27,I03,Intermediate,CC1838007_20210630_221447.csv,6/30/21 22:14,6/30/21 14:14,59.7238566,-140.5710609,5.441999912,59.7238862,-140.57092,13.93500042,47.8,13.36414148,1.737878243,-0.058682977,1.737878243,0.116078811,72.57376894,75.51962644,74.33745124
28,I04,Intermediate,CC1838007_20210630_222027.csv,6/30/21 22:20,6/30/21 14:20,59.7236187,-140.5719242,5.65899992,59.7236874,-140.5718456,18.54400063,53.4,14.24324748,2.610357496,-0.051601173,2.610357496,0.147959802,73.77907958,76.09749854,74.15670036
29,I05,Intermediate,CC1838007_20210630_222854.csv,6/30/21 22:28,6/30/21 14:28,59.7236515,-140.5715986,8.309000015,59.7236996,-140.5713089,12.06299973,119.4,31.81811525,2.373113781,-0.057056536,2.373113781,0.044270049,73.71701728,77.22896416,74.80494649
30,I06,Intermediate,CC1838007_20210630_223355.csv,6/30/21 22:33,6/30/21 14:33,59.7236671,-140.5727678,3.77699995,59.7237113,-140.5722565,14.52999973,177,33.99151879,2.453379662,-0.061702718,2.453379662,0.023237543,73.49296264,77.31528474,74.69821672
31,I07,Intermediate,CC1838007_20210630_223847.csv,6/30/21 22:38,6/30/21 14:38,59.7233514,-140.5737893,3.075000048,59.7233724,-140.573726,10.21199989,72.4,16.54781311,2.226385894,-0.047614535,2.226385894,0.064341063,73.65587396,76.01320983,74.61551343
32,I08,Intermediate,CC1838007_20210630_224148.csv,6/30/21 22:41,6/30/21 14:41,59.7226793,-140.5751063,4.710000038,59.7226232,-140.5751581,14.64700031,22.2,1.79246499,2.318320944,0.350765177,2.318320944,1.156856202,73.43958659,75.07139491,73.83268821
33,I09,Intermediate,CC1838007_20210630_224248.csv,6/30/21 22:42,6/30/21 14:42,59.7227176,-140.5750432,3.368000031,59.7227797,-140.5748187,53.04199982,28.6,3.483305415,1.545764725,-0.013352754,1.545764725,0.285310363,73.7683267,75.2982803,74.55816477
34,I10,Intermediate,CC1838007_20210630_224909.csv,6/30/21 22:49,6/30/21 14:49,59.7207782,-140.5716048,4.270999908,59.7208337,-140.5715041,22.11400032,27.8,2.632371585,0.099887763,-0.013095082,0.099887763,0.030930488,74.47123298,74.7900554,74.66722225
35,I11,Intermediate,CC1838007_20210630_225638.csv,6/30/21 22:56,6/30/21 14:56,59.7208702,-140.5699987,8.222000122,59.7208112,-140.5700379,11.00300026,39.8,8.508437236,1.887362024,-0.030085266,2.013404292,0.425647248,74.77414908,80.7418462,76.24773259
36,I12,Intermediate,CC1838007_20210630_232410.csv,6/30/21 23:24,6/30/21 15:24,59.7262992,-140.5717957,11.09000015,59.7263989,-140.571552,16.77799988,365.8,79.19690385,1.728124671,-0.079953954,1.728124671,-0.022452514,73.27304444,77.99862681,76.08880549
37,I13,Intermediate,CC1838007_20210630_233610.csv,6/30/21 23:36,6/30/21 15:36,59.7271491,-140.5743829,3.39199996,59.7269513,-140.5743395,176.6100006,103,18.59534223,1.715378523,-0.034287906,1.715378523,0.070212407,68.91473177,74.51692995,73.74366604
38,I14,Intermediate,CC1838007_20210630_235042.csv,6/30/21 23:50,6/30/21 15:50,59.7254292,-140.5702979,13.72200012,59.7255764,-140.5702763,18.90099907,326,55.54824279,2.12759219,-0.07258983,2.12759219,0.028039928,73.45618942,78.00199932,75.88379958
39,I15,Intermediate,CC1838007_20210630_235829.csv,6/30/21 23:58,6/30/21 15:58,59.7261743,-140.5723193,4.289000034,59.7263839,-140.5718071,22.86599922,433.8,81.8115854,1.659248457,-0.086316775,1.659248457,-0.02780512,72.4720333,78.0377776,76.06760967
40,I16,Intermediate,CC1838007_20210701_003408.csv,7/1/21 0:34,6/30/21 16:34,59.725225,-140.5726455,27.48200035,59.7253334,-140.5715838,20.51600075,358.4,55.65351113,2.570443153,-0.062967336,2.570443153,0.010777469,73.966129,78.07726757,75.84551562
41,I17,Intermediate,CC1838007_20210701_004058.csv,7/1/21 0:40,6/30/21 16:40,59.7251826,-140.5727632,8.472999573,59.7254248,-140.5718469,81.00700378,356.8,57.22519025,2.373810899,-0.079207962,2.373810899,-0.012948258,73.93136642,78.10257356,75.83854516
42,M01,Malaspina,CC1838007_20210701_220656.csv,7/1/21 22:06,7/1/21 14:06,59.8198243,-140.0487686,138.598999,59.8198424,-140.0487453,189.3800049,16.8,1.380809069,6.301733017,5.098305619,6.301733017,5.482882477,321.7604792,328.8389716,326.6334971
43,M02,Malaspina,CC1838007_20210701_221130.csv,7/1/21 22:11,7/1/21 14:11,59.8178482,-140.0402958,32.04700089,59.8178066,-140.0401545,9.137999535,16.2,1.149716627,4.495039528,4.49500605,4.681747057,4.554518642,335.4671376,337.1774177,336.545764
44,M03,Malaspina,CC1838007_20210701_222523.csv,7/1/21 22:25,7/1/21 14:25,59.8118559,-140.0160615,7.453000069,59.8117597,-140.0160504,11.31799984,34.4,3.524020323,7.972988663,7.715858803,8.158818853,7.94804676,313.4531804,315.528485,314.4251466
45,M04,Malaspina,CC1838007_20210701_222610.csv,7/1/21 22:26,7/1/21 14:26,59.8117343,-140.0160252,8.30700016,59.8114298,-140.0157457,12.84500027,55.2,6.464347982,7.652401517,7.070555012,7.663629147,7.344614605,313.169493,316.0588326,314.4232897
46,M38,Malaspina,CC1838007_20210701_223407.csv,7/1/21 22:34,7/1/21 14:34,59.8057843,-140.005482,3.625999928,59.8054932,-140.004429,17.42499924,75.6,7.665985113,7.433175425,7.430757035,7.670840081,7.512708058,310.1322645,311.8448103,311.3264894
47,M05,Malaspina,CC1838007_20210701_224714.csv,7/1/21 22:47,7/1/21 14:47,59.8069094,-140.0241712,5.486999989,59.8068869,-140.0241715,15.91100025,43.4,5.784720825,7.137401197,6.943465545,7.15640821,7.08772319,314.8682373,315.8068993,315.4440345
48,M06,Malaspina,CC1838007_20210701_232848.csv,7/1/21 23:28,7/1/21 15:28,59.8064339,-140.028628,22.07600021,59.8064963,-140.0285189,17.49300003,45.6,8.862592112,7.913674355,6.925547303,7.933857118,7.402231248,311.8556672,314.7963432,313.8131405
49,M07,Malaspina,CC1838007_20210701_234010.csv,7/1/21 23:40,7/1/21 15:40,59.80946,-140.0442933,6.525000095,59.8094391,-140.0442096,17.71299934,39.4,4.211872658,8.28049678,4.76055032,8.385486123,6.041469099,305.7525,322.5044031,313.1953202
50,M08,Malaspina,CC1838007_20210701_235505.csv,7/1/21 23:55,7/1/21 15:55,59.8045771,-140.0583641,3.612999916,59.8044799,-140.0583068,10.31299973,61,7.818139377,11.51085698,5.521791458,11.51085698,8.227559627,298.7617148,324.0352933,309.1679399
51,M09,Malaspina,CC1838007_20210701_235625.csv,7/1/21 23:56,7/1/21 15:56,59.8044627,-140.0581562,6.131999969,59.804456,-140.0578602,17.73999977,18.2,1.585898198,11.69869228,11.30619571,11.69869228,11.41348623,298.1648861,299.0684525,298.5640023
52,M10,Malaspina,CC1838007_20210701_235808.csv,7/1/21 23:58,7/1/21 15:58,59.8045101,-140.0577494,23.21299934,59.8044715,-140.057583,14.5539999,61.6,13.44715015,11.87713453,4.258093305,11.87713453,6.861310221,298.569255,351.1204011,321.774159
53,M11,Malaspina,CC1838007_20210702_000604.csv,7/2/21 0:06,7/1/21 16:06,59.8008194,-140.0695182,12.27200031,59.8007823,-140.0694624,22.74399948,69.6,13.50220669,11.05819575,4.603814125,11.05819575,6.766663212,301.5262209,342.4760941,320.432661
54,M12,Malaspina,CC1838007_20210702_001705.csv,7/2/21 0:17,7/1/21 16:17,59.7954472,-140.0882378,6.379000187,59.7955182,-140.0879482,36.85100174,51.6,4.537055767,12.88740203,7.364192178,12.88740203,10.04869845,292.7172051,311.6749959,297.8886481
55,M13,Malaspina,CC1838007_20210702_002924.csv,7/2/21 0:29,7/1/21 16:29,59.804739,-140.0943121,7.375,59.8045415,-140.0939941,11.84200001,48.6,8.593940673,8.149410288,4.373797867,8.149410288,6.108089349,304.7893413,344.3934552,318.59373
56,M14,Malaspina,CC1838007_20210702_003038.csv,7/2/21 0:30,7/1/21 16:30,59.8046182,-140.0938033,5.804999828,59.8047037,-140.093751,18.55599976,18.6,1.048389435,8.2867343,7.755782086,8.2867343,7.971479101,304.3424816,308.62024,306.8976081
57,M15,Malaspina,CC1838007_20210702_003107.csv,7/2/21 0:31,7/1/21 16:31,59.8047255,-140.0937415,9.770999908,59.8046892,-140.0934844,19.63400078,46,10.50592083,8.210612076,4.209558532,8.210612076,5.702437416,305.2814964,349.3412766,324.5135495
58,M16,Malaspina,CC1838007_20210702_003834.csv,7/2/21 0:38,7/1/21 16:38,59.8115461,-140.0904623,12.6260004,59.8114599,-140.0902307,28.80400085,54.8,11.0870611,7.865051,4.264691992,7.865051,5.504766271,309.9407381,342.9925611,327.0565933
59,M17,Malaspina,CC1838007_20210702_004629.csv,7/2/21 0:46,7/1/21 16:46,59.816675,-140.0797166,7.206999779,59.8165927,-140.0791052,12.84500027,122,22.46208674,8.795902697,3.526575114,8.795902697,4.244368977,276.5669754,381.8489376,342.5607141
60,M18,Malaspina,CC1838007_20210702_004903.csv,7/2/21 0:49,7/1/21 16:49,59.8165808,-140.0789849,5.173999786,59.8164795,-140.0784727,19.78100014,96.2,21.42709127,8.024046402,3.530955736,8.024046402,4.309363349,278.9250638,382.7350046,339.7149002
61,,,CC1838007_20210702_205539.csv,7/2/21 20:55,7/2/21 12:55,,,,,,,87.2,13.8514018,7.123010635,2.609053341,7.123010635,4.178566599,211.9227598,313.0457118,293.8882675
62,M19,Malaspina,CC1838007_20210702_205758.csv,7/2/21 20:57,7/2/21 12:57,59.8301058,-140.0752033,22.16399956,59.8300184,-140.0750503,42.13399887,66.8,11.16445682,7.402541487,0.894103918,7.402541487,3.773386811,155.4986464,307.5889969,261.8600457
63,M20,Malaspina,CC1838007_20210702_211525.csv,7/2/21 21:15,7/2/21 13:15,59.8454262,-140.0862289,27.84499931,59.8453059,-140.0860527,49.07899857,80.2,13.10673832,7.335427667,3.530055114,7.335427667,4.219211678,279.2516417,334.8835483,307.2438834
64,M21,Malaspina,CC1838007_20210702_212649.csv,7/2/21 21:26,7/2/21 13:26,59.8482928,-140.106656,8.581000328,59.8482463,-140.1061984,13.58300018,156,29.10047796,5.471011207,3.335916145,5.471011207,3.568614454,271.4723913,369.6244154,344.4238923
65,M22,Malaspina,CC1838007_20210702_213802.csv,7/2/21 21:38,7/2/21 13:38,59.8499138,-140.1210111,6.605000019,59.8499221,-140.1205695,14.79300022,163,30.21863716,6.515661183,3.28020054,6.515661183,3.58709951,274.2447268,390.179137,345.8320715
66,M23,Malaspina,CC1838007_20210702_220754.csv,7/2/21 22:07,7/2/21 14:07,59.8525072,-140.1477868,2.937999964,59.8525827,-140.1475903,12.5539999,47.4,2.065405986,5.942158035,4.391927896,5.942158035,4.865820467,366.059971,371.9520547,368.8700266
67,M24,Malaspina,CC1838007_20210702_221906.csv,7/2/21 22:19,7/2/21 14:19,59.8508074,-140.1680749,6.281000137,59.8508967,-140.1676267,9.736000061,152.4,28.47831803,5.205857274,3.274738263,5.238532664,3.634222685,376.9881571,469.5103437,416.868441
68,M25,Malaspina,CC1838007_20210702_223818.csv,7/2/21 22:38,7/2/21 14:38,59.8384776,-140.1479006,6.645999908,59.8384327,-140.1474947,7.737999916,185.4,32.87796789,4.91836067,3.220941333,4.91836067,3.686757678,238.8656828,439.3049445,351.2657069
69,M26,Malaspina,CC1838007_20210702_224708.csv,7/2/21 22:47,7/2/21 14:47,59.8346484,-140.1401923,7.202000141,59.8347144,-140.1395674,11.50599957,191.2,39.19303057,6.752311605,3.038012881,6.752311605,3.848282009,236.5519805,565.9293078,377.9047858
70,M27,Malaspina,CC1838007_20210702_230211.csv,7/2/21 23:02,7/2/21 15:02,59.8316052,-140.1308276,3.464999914,59.831705,-140.1303007,16.75499916,205.4,45.40046726,7.312731294,2.887457156,7.312731294,4.034114753,254.8819339,703.9684407,411.7820253
71,M28,Malaspina,CC1838007_20210702_231815.csv,7/2/21 23:18,7/2/21 15:18,59.822683,-140.1132506,4.123000145,59.822485,-140.1128234,11.85200024,204.4,46.17349082,8.078075409,2.948489615,8.078075409,3.854868275,261.2189359,698.2697261,447.4514753
72,M29,Malaspina,CC1838007_20210704_215018.csv,7/4/21 21:50,7/4/21 13:50,59.83117,-140.2842663,7.836999893,59.8311886,-140.2838869,25.16900063,368,56.22917355,6.357780732,2.693407732,6.357780732,3.401542552,151.3179678,210.3079397,172.2714818
73,M30,Malaspina,CC1838007_20210704_220807.csv,7/4/21 22:08,7/4/21 14:08,59.8391307,-140.2823233,2.858999968,59.8389006,-140.2821012,14.3739996,140.2,49.0567659,4.594406128,2.744030611,4.594406128,3.352766032,152.4447202,197.3090989,173.7211401
74,M31,Malaspina,CC1838007_20210704_223803.csv,7/4/21 22:38,7/4/21 14:38,59.8220872,-140.2369935,15.56299973,59.8219638,-140.2363787,302.2990112,110,31.2494914,9.068618774,3.062436846,9.068618774,4.551774414,173.3272736,348.038886,220.4883857
75,M32,Malaspina,CC1838007_20210704_225551.csv,7/4/21 22:55,7/4/21 14:55,59.8129057,-140.2091671,7.080999851,59.8128218,-140.2086654,18.36000061,175.4,45.48798218,8.165156191,2.905074102,8.165156191,3.764248565,166.5174297,302.2645578,195.2490986
76,M33,Malaspina,CC1838007_20210704_234402.csv,7/4/21 23:44,7/4/21 15:44,59.8102536,-140.1563357,3.467999935,59.8102299,-140.1561282,16.09399986,138.8,40.01009212,12.72963905,3.240795201,12.72963905,4.287452427,218.9932873,399.6437496,299.5179955
77,M34,Malaspina,CC1838007_20210705_000249.csv,7/5/21 0:02,7/4/21 16:02,59.7978382,-140.1604049,17.18199921,59.797791,-140.1604189,17.65699959,17.2,2.165580697,15.2047863,8.643294364,15.2047863,11.47581374,227.7625536,254.9416538,238.7297798
78,M35,Malaspina,CC1838007_20210705_001832.csv,7/5/21 0:18,7/4/21 16:18,59.8425928,-139.0891897,260.0690002,59.7861309,-140.166755,12.51299953,81,19.45677915,14.62209034,4.554118856,14.62209034,6.950694905,218.8153173,244.1463416,235.4769627
79,M36,Malaspina,CC1838007_20210705_004753.csv,7/5/21 0:47,7/4/21 16:47,59.7782334,-140.2147968,15.91699982,59.7782289,-140.2147507,9.565999985,27.4,2.688326375,15.87006021,10.17521732,15.87006021,12.35388574,217.6695325,225.410166,221.7067655
80,M37,Malaspina,CC1838007_20210705_010546.csv,7/5/21 1:05,7/4/21 17:05,59.793339,-140.2341714,17.42399979,59.7932137,-140.2342896,9.940999985,115.2,31.54987289,8.799450315,3.157555185,8.799450315,4.324030708,176.509444,280.0940751,200.1316413
81,B10,Backdoor,CC1838007_20210705_214726.csv,7/5/21 21:47,7/5/21 13:47,59.7492776,-140.5340822,2.898000002,59.7491917,-140.5340628,8.342000008,213.2,30.92231811,2.792113028,1.099623471,2.792113028,1.510376556,73.44245141,134.1614877,93.29041364
82,B11,Backdoor,CC1838007_20210705_220644.csv,7/5/21 22:06,7/5/21 14:06,59.7442883,-140.5303095,10.72399998,59.7439042,-140.5305168,12.17700005,467.4,36.71621843,1.874583381,1.032743394,1.874583381,1.346683718,76.74572061,202.6385107,104.349573
83,B12,Backdoor,CC1838007_20210705_225753.csv,7/5/21 22:57,7/5/21 14:57,59.7247931,-140.5344462,14.1260004,59.7247858,-140.5343614,18.63599968,76.4,12.01522623,9.035045582,2.071303833,9.035045582,2.865222752,82.11984885,123.4180966,85.55281105